0%;3;3,000142857
1%;3,051764873;3,198571429
2%;3,090952899;3,281428571
3%;3,124595933;3,337857143
4%;3,153447762;3,379142857
5%;3,18226937;3,409714286
6%;3,21097136;3,432714286
7%;3,238327827;3,448857143
8%;3,263547394;3,461142857
9%;3,287844275;3,472428571
10%;3,309866493;3,482714286
11%;3,331124117;3,492857143
12%;3,351703239;3,502571429
13%;3,369694239;3,512142857
14%;3,383191513;3,521285714
15%;3,393007487;3,531428571
16%;3,40152951;3,541142857
17%;3,409433905;3,551285714
18%;3,417971456;3,561571429
19%;3,425681487;3,571714286
20%;3,433391664;3,581857143
21%;3,44093209;3,591571429
22%;3,448706565;3,601428571
23%;3,457120986;3,610857143
24%;3,465297483;3,619714286
25%;3,473502843;3,628
26%;3,481434092;3,636142857
27%;3,489218362;3,643
28%;3,496555634;3,65
29%;3,504290053;3,657
30%;3,511981255;3,663428571
31%;3,519047124;3,669857143
32%;3,526477991;3,676285714
33%;3,533550832;3,682714286
34%;3,541114908;3,689142857
35%;3,548877404;3,695571429
36%;3,556546218;3,702142857
37%;3,564258473;3,708571429
38%;3,572580457;3,715428571
39%;3,58093614;3,722
40%;3,589607128;3,728857143
41%;3,59887547;3,735857143
42%;3,608166477;3,742857143
43%;3,617620111;3,750428571
44%;3,627519519;3,757857143
45%;3,637576716;3,765428571
46%;3,647789697;3,773428571
47%;3,657585272;3,781428571
48%;3,667676174;3,789571429
49%;3,677632474;3,797571429
50%;3,687452985;3,806142857
51%;3,697136673;3,814714286
52%;3,706539779;3,823857143
53%;3,716090095;3,832428571
54%;3,724644089;3,841
55%;3,73377261;3,849571429
56%;3,742903728;3,858142857
57%;3,751465589;3,866714286
58%;3,759743542;3,874857143
59%;3,76759442;3,883428571
60%;3,775589389;3,891428571
61%;3,7831568;3,899571429
62%;3,790296468;3,907571429
63%;3,797293951;3,915285714
64%;3,804291977;3,923142857
65%;3,811576154;3,930571429
66%;3,819003536;3,938142857
67%;3,826859766;3,945142857
68%;3,835144786;3,952142857
69%;3,84371569;3,959
70%;3,853429583;3,966
71%;3,863572149;3,972428571
72%;3,874571936;3,978857143
73%;3,885571781;3,985285714
74%;3,897285956;3,992285714
75%;3,908571592;3,999285714
76%;3,919857251;4,006857143
77%;3,931142928;4,014857143
78%;3,94128576;4,022857143
79%;3,951285743;4,032
80%;3,95985716;4,041142857
81%;3,967142868;4,050857143
82%;3,973571435;4,061
83%;3,978571432;4,071714286
84%;3,983142859;4,082428571
85%;3,987000001;4,093142857
86%;3,990714286;4,103428571
87%;3,994428572;4,113857143
88%;3,998142857;4,123714286
89%;4,001714286;4,132857143
90%;4,005714286;4,141428571
91%;4,009714286;4,149
92%;4,014571429;4,155428571
93%;4,020428571;4,160714286
94%;4,027428571;4,165571429
95%;4,036285714;4,169285714
96%;4,047;4,173142857
97%;4,061714286;4,176857143
98%;4,080285714;4,180142857
99%;4,106285714;4,183857143
100%;4,163428571;4,184857143
